qid,question,answer
1,补发网银盾,您可以到智慧柜员机办理此项业务，方便快捷，节省您的宝贵时间哦。若去柜台办理，请刷身份证取号。
2,代发工资,您要办理的是对公开户、销户、签约及其他业务。请刷身份证，小龙人来帮您取个号吧。
3,对帐单查询打印,您要办理的是对公开户、销户、签约及其他业务。请刷身份证，小龙人来帮您取个号吧。
4,理财产品取号,请说出您需要办理的业务
5,密码修改,请您带上身份证到自助柜员机办理，简单快捷，操作容易哦。
6,查询名下所有账户,您可以到智慧柜员机办理此项业务，如需到柜台办理，请刷身份证取号
9,交易流水明细证明,您可以到智慧柜员机办理此项业务，如需到柜台办理，请刷身份证取号
10,个人结售汇,电视墙上有实时汇率表哦，您可以看看，如果您需要购汇或换汇，请到自助柜员机办理，如果您要取现钞，请刷身份证取号到柜台办理。如您使用护照或其他证件，可以请大堂经理过来帮您哦
11,现金取款,人民币百元钞2万以内可直接在ATM机办理，2万以上请刷身份证取号到柜台办理哦。
12,账户销户,您要办理的是个人转账、挂失、销户、修改密码业务。请刷身份证，小龙人来帮您取个号吧。
13,转账业务,5万元以内转账，可以直接在ATM办理；五万以上请刷身份证取号至柜台办理。您也可以通过网上银行或手机银行办理。我行手机银行所有转账手续费全免！
15,现金存款,人民币百元钞2万以内可直接在自助柜员机办理，2万以上请刷身份证取号去柜台办理。
16,贵金属业务,购买纸黄金可以在手机银行客户端签约购买，方便快捷；购买实物黄金请刷身份证取号到柜台办理，详情可以咨询我行客户经理。
17,个人账户管理,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
19,开特色卡,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
20,吞卡证明,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
21,补打发票,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
22,查询并取款,请您刷身份证取号！
23,本卡转本卡,请您刷身份证取号！
24,本卡转其他或现金,请您刷身份证取号！
25,5万以内转账,请您刷身份证取号！
26,5万-20万转账,请您刷身份证取号！
27,20万-200万转账,请您刷身份证取号！
28,200万以上转账,请您刷身份证取号！
29,结售汇，不取现金,请您刷身份证取号！
30,结售汇及取现金,请您刷身份证取号！
31,银星收款,请您刷身份证取号！
32,仅查询,请您刷身份证取号！
33,银星汇款,请您刷身份证取号！
34,西联收款,请您刷身份证取号！
35,西联汇款,请您刷身份证取号！
36,身份证开卡,请您刷身份证取号！
37,其他证件开卡,请您刷身份证取号！
39,信用卡非现金还款,请您刷身份证取号！
40,其他信用卡业务,请您刷身份证取号！
41,建信保险,请您刷身份证取号！
42,其他保险,请您刷身份证取号！
43,社保业务,您要办理的是个人现金业务。请刷身份证，小龙人来帮您取个号吧。
44,存单业务,您要办理的是个人现金业务。请刷身份证，小龙人来帮您取个号吧。
45,查询外汇汇率,您要办理的是外币业务业务。请刷身份证，小龙人来帮您取个号吧。
48,存折解挂,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
49,纪念币业务,您可以到柜台办理该项业务，请刷身份证取号。纪念币的预约可以在我行网银、手机银行、ATM进行，然后前来网点柜台兑换，可以节省您的大量时间。
50,开普通龙卡,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
51,结算通卡业务,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
52,换手机银行手机号,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
53,粤通卡充值,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
54,充值缴费,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
55,柜台缴费,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
57,信用卡短信业务,您好，信用卡的短信通知功能是默认开通的，信用卡单笔消费500元以上，系统会自动发送免费短信提醒，若您需要500元以下小额交易短信提醒，需额外开通，服务费为3元/月
